Accession,Submitters,Release_Date,Pangolin,Species,Molecule_type,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MT370866.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.28,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29772,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370868.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370869.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1.383,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29726,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-18
MT370870.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29726,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-18
MT370871.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370872.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29730,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370874.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29756,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-15
MT370875.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-18
MT370876.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370877.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370878.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29726,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-16
MT370880.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29726,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-19
MT370881.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29726,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-13
MT370882.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29726,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-18
MT370883.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29716,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-18
MT370885.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1.108,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29726,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-18
MT370886.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370888.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29730,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370889.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29726,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-13
MT370890.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-18
MT370891.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29793,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-16
MT370892.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29726,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-11
MT370894.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1.413,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370895.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1.332,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29751,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-16
MT370896.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29716,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-18
MT370897.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-18
MT370898.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29719,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-18
MT370899.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29726,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370901.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370902.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1.319,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370903.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.28,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29756,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370904.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.4,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29716,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-02-29
MT370905.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29729,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370906.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29772,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370907.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29720,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT370908.1,"Gonzalez-Reiche,A.S., Hernandez,M.M., Sullivan,M., Ciferri,B., Alshammary,H., Obla,A., Fabre,S., Kleiner,G., Polanco,J., Khan,Z., Alburquerque,B., van de Guchte,A., Dutta,J., Francoeur,N., Salom Melo,B., Oussenko,I., Deikus,G., Soto,J., Sridhar,S.H., Wang,Y.C., Twyman,K., Kasarskis,A., Altman,D.R., Smith,M., Sebra,R., Aberg,J., Krammer,F., Garcia-Sastre,A., Luksza,M., Patel,G., Paniz-Mondolfi,A., Gitman,M., Sordillo,E.M., Simon,V., van Bakel,H.",2020-04-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29719,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-18
